ID,TIPO,RAZON,ACTIVATION_CHANNEL,AGEING,BUSINESS_UNIT,TECHNOLOGY,DEVICE_TECHNOLOGY,DATA_USR,DATA_USR_M-1,DATA_USR_M-2,DATA_USR_M-3,DEVICE_TYPE,REGIONAL,DEPARTMENT,CITY,OPENING,GROSS,RECONNECTION,QTY_RCHG,QTY_RCHG_M-1,QTY_RCHG_M-2,QTY_RCHG_M-3,AMNT_RCHG,AMNT_RCHG_M-1,AMNT_RCHG_M-2,AMNT_RCHG_M-3,REV_TOTAL,REV_TOTAL_M-1,REV_TOTAL_M-2,REV_TOTAL_M-3,REV_IN,REV_IN_M-1,REV_IN_M-2,REV_IN_M-3,REV_OUT,REV_OUT_M-1,REV_OUT_M-2,REV_OUT_M-3,ARPU,CALLS_IN,CALLS_IN_M-1,CALLS_IN_M-2,CALLS_IN_M-3,MINUTES_IN,MINUTES_IN_M-1,MINUTES_IN_M-2,MINUTES_IN_M-3,MSG_IN,MSG_IN_M-1,MSG_IN_M-2,MSG_IN_M-3,CALLS_OUT,CALLS_OUT_M-1,CALLS_OUT_M-2,CALLS_OUT_M-3,MINUTES_OUT,MINUTES_OUT_M-1,MINUTES_OUT_M-2,MINUTES_OUT_M-3,MSG_OUT,MSG_OUT_M-1,MSG_OUT_M-2,MSG_OUT_M-3,PCKG_VOICE_FIXNET_M-1,PCKG_VOICE_FIXNET_M-2,PCKG_VOICE_FIXNET_M-3,REV_OUT_COMMUNICATION,REV_OUT_COMMUNICATION_M-1,REV_OUT_COMMUNICATION_M-2,REV_OUT_COMMUNICATION_M-3,REV_OUT_ENTERTAIMENT,REV_OUT_ENTERTAIMENT_M-1,REV_OUT_ENTERTAIMENT_M-2,REV_OUT_ENTERTAIMENT_M-3,REV_OUT_INFORMATION,REV_OUT_INFORMATION_M-1,REV_OUT_INFORMATION_M-2,REV_OUT_INFORMATION_M-3,REV_OUT_SOLUTIONS,REV_OUT_SOLUTIONS_M-1,REV_OUT_SOLUTIONS_M-2,REV_OUT_SOLUTIONS_M-3,CONSUMO_DATOS,CONSUMO_DATOS_M-1,CONSUMO_DATOS_M-2,CONSUMO_DATOS_M-3,CORE,CORE_M-1,CORE_M-2,CORE_M-3,DIAS_INACTIVIDAD,DIAS_INACTIVIDAD_M-1,DIAS_INACTIVIDAD_M-2,DIAS_INACTIVIDAD_M-3,QTY_PQT,PQT_MAS_COMPRADO,qty_pqt_M.1,pqt_mas_comprado_M.1,qty_pqt_M.2,pqt_mas_comprado_M.2,qty_pqt_M.3,pqt_mas_comprado_M.3,CHURN
90659,Churn,Port Out,DISTRIBUIDORES,43.0,MOBILE,4G,4G,Y,Y,Y,Y,SMARTPHONE,COSTA,ATLÁNTICO,SOLEDAD,Y,N,N,4.0,7,6,5,12000.0,21000.0,21000.0,15000.0,10509.0,18754,18314,13747,473.0,1190,750,1201,10036.0,17564,17564,12546,0,116.0,158,105,180,106.0,162.6,102.8,208.2,6.0,4.0,1.0,3.0,114.0,221,135,163,124.1,154.6,84.1,170.8,0.0,0,0,0,0.0,0.0,0.0,1465.0,2564,2564,1831,0.0,0,0,0,8571.0,15000,15000,10714,0.0,0,0,0,2296699.0,10712859.0,558497.0,2385923.0,CORE,CORE   ,CORE   ,CORE   ,1.0,0,0,0,,,,,,,,,1
473019,Churn,Port Out,FUERZA_VD,16.0,MOBILE,4G,2G,Y,N,N,Y,SMARTPHONE,COSTA,CÓRDOBA,MONTERÍA,Y,N,N,1.0,0,0,1,3000.0,0.0,0.0,3000.0,4810.0,1932,2135,3810,2301.0,1932,2135,1301,2509.0,0,0,2509,0,66.0,57,61,47,168.6,144.3,155.9,94.6,5.0,5.0,8.0,2.0,4.0,0,7,2,3.8,0.0,6.7,0.1,15.0,31,28,24,0.0,0.0,0.0,366.0,0,0,366,0.0,0,0,0,2143.0,0,0,2143,0.0,0,0,0,88283.9,74199.3,583735.0,164132.5,CORE,CORE   ,CORE   ,CORE   ,0.0,0,1,0,,,,,,,,,1
421306,Churn,Port Out,DISTRIBUIDORES,7.0,MOBILE,4G,2G,Y,Y,N,N,SMARTPHONE,BOGOTA,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Y,N,N,4.0,3,0,0,12000.0,9000.0,0.0,0.0,11096.0,7712,0,0,1060.0,185,0,0,10036.0,7527,0,0,0,89.0,20,0,0,121.8,18.1,0.0,0.0,3.0,3.0,0.0,0.0,166.0,76,0,0,389.3,142.2,0.0,0.0,4.0,136,0,0,0.0,0.0,0.0,1465.0,1099,0,0,0.0,0,0,0,8571.0,6429,0,0,0.0,0,0,0,8314362.0,2470139.0,0.0,0.0,CORE,CORE   ,NO CORE,NO CORE,0.0,0,92,61,,,,,,,,,1
291700,Churn,Port Out,DISTRIBUIDORES,1.0,MOBILE,2G,3G,Y,N,N,N,FEATURE PHONE,BOGOTA,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Y,N,N,1.0,0,0,0,5000.0,0.0,0.0,0.0,4182.0,0,0,0,0.0,0,0,0,4182.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,610.0,0,0,0,0.0,0,0,0,3571.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,CORE,NO CORE,NO CORE,NO CORE,2.0,0,0,0,,,,,,,,,1
447516,Churn,Port Out,FUERZA_VD,4.0,MOBILE,4G,2G,Y,Y,Y,Y,SMARTPHONE,BOGOTA,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Y,N,N,2.0,2,2,1,36000.0,40000.0,27000.0,6000.0,31264.0,33934,22767,5041,604.0,1139,185,23,30660.0,32795,22582,5018,0,26.0,21,10,1,44.4,74.9,12.5,1.8,14.0,7.0,17.0,0.0,83.0,59,28,2,158.8,44.4,41.5,1.2,24.0,28,8,1,0.0,0.0,0.0,4273.0,4517,3296,733,1387.0,1849,0,0,25000.0,26429,19286,4286,0.0,0,0,0,7925735.0,8495036.0,15766536.0,836171.3,CORE,CORE   ,CORE   ,CORE   ,0.0,0,0,0,,,,,,,,,1
72570,Churn,Port Out,DISTRIBUIDORES,3.0,MOBILE,4G,3G,Y,Y,N,N,SMARTPHONE,BOGOTA,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Y,N,N,7.0,2,0,0,21000.0,5000.0,0.0,0.0,21919.0,4198,0,0,4355.0,16,0,0,17564.0,4182,0,0,0,227.0,6,0,0,427.5,4.4,0.0,0.0,4.0,4.0,0.0,0.0,462.0,14,0,0,855.3,12.5,0.0,0.0,6.0,4,0,0,0.0,0.0,0.0,2564.0,610,0,0,0.0,0,0,0,15000.0,3571,0,0,0.0,0,0,0,16784174.0,1587687.0,0.0,0.0,CORE,CORE   ,NO CORE,NO CORE,0.0,0,1,0,,,,,,,,,1
120768,Churn,Port Out,TO BE DETERMINED,6.0,MOBILE,4G,4G,Y,Y,Y,Y,SMARTPHONE,BOGOTA,CUNDINAMARCA,SUBACHOQUE,Y,N,N,1.0,3,1,2,6000.0,36000.0,15000.0,21000.0,7122.0,34319,14600,20436,2104.0,4210,2054,2872,5018.0,30109,12546,17564,0,70.0,126,52,38,157.9,315.6,154.1,215.2,0.0,2.0,3.0,3.0,122.0,188,148,158,338.2,343.9,217.6,380.0,20.0,3,22,21,0.0,0.0,0.0,733.0,4395,1831,2564,0.0,0,0,0,4286.0,25714,10714,15000,0.0,0,0,0,34385662.0,45815999.0,29138099.0,21061337.0,CORE,CORE   ,CORE   ,CORE   ,0.0,0,0,0,,,,,,,,,1
359288,Churn,Port Out,FUERZA_VD,2.0,MOBILE,4G,4G,Y,Y,N,N,SMARTPHONE,BOGOTA,CUNDINAMARCA,GIRARDOT,Y,N,N,2.0,2,0,0,18000.0,30000.0,0.0,0.0,19536.0,26781,0,0,4481.0,1690,0,0,15055.0,25091,0,0,0,35.0,13,0,0,335.7,126.7,0.0,0.0,4.0,0.0,0.0,0.0,241.0,68,0,0,867.3,303.5,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,2198.0,3663,0,0,0.0,0,0,0,12857.0,21429,0,0,0.0,0,0,0,60034506.0,27894089.0,0.0,0.0,CORE,CORE   ,NO CORE,NO CORE,0.0,0,0,0,,,,,,,,,1
162058,Churn,Port Out,DISTRIBUIDORES,2.0,MOBILE,2G,2G,Y,N,N,N,LOW END,ANDINA,NORTE DE SANTANDER,LOS PATIOS,Y,N,N,1.0,0,0,0,5000.0,0.0,0.0,0.0,4182.0,0,0,0,0.0,0,0,0,4182.0,0,0,0,0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0.1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,610.0,0,0,0,0.0,0,0,0,3571.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,CORE,NO CORE,NO CORE,NO CORE,28.0,20,0,0,,,,,,,,,1
262887,Churn,Port Out,DISTRIBUIDORES,53.0,MOBILE,4G,2G,Y,N,N,N,SMARTPHONE,COSTA,ATLÁNTICO,BARRANQUILLA,Y,N,N,0.0,0,0,0,0.0,0.0,0.0,0.0,59976.0,0,0,0,1787.0,0,0,0,58189.0,0,0,0,0,67.0,0,0,0,185.2,0.0,0.0,0.0,25.0,0.0,0.0,0.0,101.0,0,0,0,237.7,0.0,0.0,0.0,20.0,0,0,0,0.0,0.0,0.0,7323.0,0,0,0,0.0,0,0,0,50866.0,0,0,0,0.0,0,0,0,19103340.0,0.0,0.0,0.0,CORE,NO CORE,NO CORE,NO CORE,0.0,0,0,0,,,,,,,,,1
